,gene_ids,feature_types,genome
ABCC11,ENSG00000121270,Gene Expression,Unknown
ACTA2,ENSG00000107796,Gene Expression,Unknown
ACTG2,ENSG00000163017,Gene Expression,Unknown
ADAM9,ENSG00000168615,Gene Expression,Unknown
ADGRE5,ENSG00000123146,Gene Expression,Unknown
ADH1B,ENSG00000196616,Gene Expression,Unknown
ADIPOQ,ENSG00000181092,Gene Expression,Unknown
AGR3,ENSG00000173467,Gene Expression,Unknown
AIF1,ENSG00000204472,Gene Expression,Unknown
AKR1C1,ENSG00000187134,Gene Expression,Unknown
AKR1C3,ENSG00000196139,Gene Expression,Unknown
ALDH1A3,ENSG00000184254,Gene Expression,Unknown
ANGPT2,ENSG00000091879,Gene Expression,Unknown
ANKRD28,ENSG00000206560,Gene Expression,Unknown
ANKRD29,ENSG00000154065,Gene Expression,Unknown
ANKRD30A,ENSG00000148513,Gene Expression,Unknown
APOBEC3A,ENSG00000128383,Gene Expression,Unknown
APOBEC3B,ENSG00000179750,Gene Expression,Unknown
APOC1,ENSG00000130208,Gene Expression,Unknown
AQP1,ENSG00000240583,Gene Expression,Unknown
AQP3,ENSG00000165272,Gene Expression,Unknown
AR,ENSG00000169083,Gene Expression,Unknown
AVPR1A,ENSG00000166148,Gene Expression,Unknown
BACE2,ENSG00000182240,Gene Expression,Unknown
BANK1,ENSG00000153064,Gene Expression,Unknown
BASP1,ENSG00000176788,Gene Expression,Unknown
C15orf48,ENSG00000166920,Gene Expression,Unknown
C1QA,ENSG00000173372,Gene Expression,Unknown
C1QC,ENSG00000159189,Gene Expression,Unknown
C2orf42,ENSG00000115998,Gene Expression,Unknown
C5orf46,ENSG00000178776,Gene Expression,Unknown
C6orf132,ENSG00000188112,Gene Expression,Unknown
CAV1,ENSG00000105974,Gene Expression,Unknown
CAVIN2,ENSG00000168497,Gene Expression,Unknown
CCDC6,ENSG00000108091,Gene Expression,Unknown
CCDC80,ENSG00000091986,Gene Expression,Unknown
CCL5,ENSG00000271503,Gene Expression,Unknown
