regulatoryGene,targetGene,weight
PAX8,PAX8-AS1,0.112401965900814
PAX8,RP11-65I12.1,0.0871359951628044
FOXM1,KIF20A,0.06364686682258
FOXM1,NDC80,0.0617948126720144
FOXL1,FOXC2,0.061032727073937
SOX2,SFTPB,0.0606096093648824
FOXM1,TPX2,0.0605508986170645
EGR2,EGR3,0.0601916449734285
FOXM1,MKI67,0.0588312566325978
FOXM1,RRM2,0.058744743400989
FOXM1,HJURP,0.0587228972535287
HOXC11,HOTAIR,0.0580770215450197
MYBL2,PKMYT1,0.0578750428469579
EGR3,EGR2,0.0574855207281079
FOXM1,GTSE1,0.0571641772971083
E2F8,CEP55,0.0569530513133648
E2F8,MKI67,0.056913329054298
MYBL2,UBE2C,0.0567561914588233
TFEC,MARCH1,0.0566557068391314
E2F8,NUSAP1,0.0565098682279335
TEF,NR1D1,0.0562909019566466
FOXM1,NCAPH,0.0558998902401481
FOXM1,CCNA2,0.0557969804669294
ZNF208,AC003973.3,0.0555310389998056
MYBL2,HJURP,0.0552285631715142
TFEC,IGSF6,0.0551656767075135
MYBL2,NCAPH,0.0551251148286917
SPI1,HCK,0.0550977010883669
FOXM1,KIF4A,0.0548992331605117
MYBL2,MELK,0.0542151633064035
E2F8,NCAPG,0.054188641883882
FOXM1,MELK,0.0540551602477875
FOXM1,UBE2C,0.0539366263829145
FOXM1,MYBL2,0.0539107349345205
EOMES,GZMK,0.0538219343042804
MYBL2,TPX2,0.0536330127433677
FOXM1,MND1,0.0536070593962404
SOX2,AKR1B10,0.05354819135262
MYBL2,CDCA5,0.0535092674627989
FOXM1,NUSAP1,0.0533197179698359
FOXM1,TOP2A,0.0532595951871725
SOX2,CYP4F3,0.0528353647955561
FOXM1,PRC1,0.0527302064992517
FOXM1,PLK1,0.0524685533287892
FOS,BTG2,0.0523936695147785
FOXM1,FAM83D,0.0523519319816716
E2F8,MELK,0.0523036370229455
FOXM1,PBK,0.0522853311407419
FOXM1,IQGAP3,0.0522190031022241
TFEC,PIK3AP1,0.0520326974896524
FOXC2,FOXL1,0.0519944348491065
HOXC13,HOXC12,0.0519371147234227
FOXM1,NEIL3,0.0518466251611615
FOXM1,AURKB,0.0515822050739657
FOXM1,TROAP,0.0513112227097599
E2F8,RRM2,0.0511756642313786
E2F8,HMMR,0.0511339283543617
SPI1,VAV1,0.0511334835222401
TFEC,CD84,0.0506579001570289
MYBL2,SPAG5,0.0504432857967193
E2F8,CCNA2,0.0504399988288837
FOXM1,KIAA0101,0.0504045374670348
FOXM1,NCAPG,0.0503515526410235
MYBL2,RRM2,0.050345713631983
FOXM1,KIF18B,0.0502632958822348
FOXM1,ASPM,0.0502089518007816
MYBL2,KIF20A,0.0501180968346041
E2F8,KIF14,0.0500902876289047
SPI1,WAS,0.0500446389765165
E2F8,KIF20A,0.0499807148782638
MYBL2,ASF1B,0.049946141666213
JUNB,IER2,0.0498807522796759
E2F8,ANLN,0.0498109920278176
E2F8,CASC5,0.0494685548798343
HOXB5,HOXB-AS3,0.0494330896270173
SPI1,ARHGAP30,0.0492606336975809
PROX1,PKHD1L1,0.0491833068648457
SPI1,ITGB2,0.0491755787828735
FOXM1,ANLN,0.0489218604132044
MYBL2,MND1,0.048855422135439
FOXM1,DEPDC1B,0.0487487101793541
E2F8,CKAP2L,0.0487420187503206
FOXM1,DLGAP5,0.0487181404416446
FOXM1,CDCA5,0.0484998913096601
FOXM1,ESCO2,0.0484028854159969
E2F8,IQGAP3,0.048365654841284
FOXM1,CKAP2L,0.0483148938274562
E2F8,CLSPN,0.0482797281629517
FOXM1,CDC25C,0.0481860812596846
IKZF1,SLAMF6,0.0481501296816502
MYBL2,IQGAP3,0.0480949917366328
MYBL2,KIF4A,0.0480938272461697
FOXM1,DEPDC1,0.0480033770400337
E2F8,DTL,0.0479345880323236
E2F8,KIF4A,0.0478524571128775
MYBL2,FAM83D,0.0478209081968637
NR1D1,TEF,0.0477663584591037
E2F8,NEIL3,0.0477307927192899
MYBL2,PLK1,0.0477066952805219
IKZF3,GPR171,0.04769475914961
MYBL2,FOXM1,0.0475172127318828
NR4A1,FOSB,0.0474672757918322
NR1D2,CIART,0.0474131508460947
MYBL2,NCAPG,0.0473476987248706
PAX5,VPREB3,0.0473459074287254
MYBL2,CDC45,0.0471227234295269
FOXM1,NUF2,0.047117885690806
E2F8,NUF2,0.0470992812242792
HOXB4,HOXB3,0.0470628364731754
E2F8,ASPM,0.0470514845880744
FOS,DUSP1,0.047050582880593
E2F8,DLGAP5,0.0470205391308786
FOXM1,RAD51,0.0469973220163008
EGR1,PTGS2,0.0469811061148896
PAX5,MS4A1,0.0469466547593725
MYBL2,RAD51,0.0469077505268995
NR4A1,NR4A2,0.0468918815973601
FOXM1,ASF1B,0.0468810680897609
KLF9,ZFAND5,0.0467726193154021
TFEC,DOCK2,0.0466150603344549
MYBL2,AURKA,0.0465514992940193
FOXM1,SPAG5,0.04654640220668
FOXM1,CEP55,0.0465071306907628
E2F8,NDC80,0.0465042258759174
SOX2,ALDH3A1,0.0464797317844996
SP140,TIGIT,0.0464400850870206
MYBL2,TROAP,0.0463295290826686
SPI1,SIGLEC9,0.0462062196335234
SPI1,FERMT3,0.04620179757113
FOXM1,CDC45,0.0461880212393524
FOXM1,EXO1,0.045813767744599
FOXM1,SKA1,0.0457838679283069
NR1D2,PER3,0.0457586736569661
E2F8,SHCBP1,0.0457371773122519
CSRNP1,CYR61,0.0457202499141992
CENPT,HSF4,0.0454677231748124
E2F7,ANLN,0.0454269996958273
FOXM1,HMMR,0.045350280577171
E2F8,AURKA,0.0451968420116673
SPI1,MYO1F,0.0450865033321907
SPI1,CYTH4,0.0450552310038761
FOXM1,DTL,0.045050135730011
MYBL2,CDC6,0.0450254168167847
SPI1,TNFAIP8L2,0.04494608570995
FOXM1,UHRF1,0.044935287146702
MYBL2,CDK1,0.0448289482232965
FOSB,ZFP36,0.0447820620241314
HOXA5,HOXA3,0.0444009275993087
MYBL2,NDC80,0.0443948349386761
PGR,IGSF1,0.044347787156739
FOXM1,CDC25A,0.0442160367197126
FOXM1,SHCBP1,0.0441556577903998
ZBTB16,FKBP5,0.043988918491976
E2F8,EXO1,0.0439343456522028
DBP,NR1D1,0.0438821295125726
IKZF1,PTPRC,0.0438626716456448
FOXM1,BIRC5,0.043856271113959
FOSB,EGR1,0.0438552967200415
FOXM1,CDK1,0.0438309386192846
SPI1,AIF1,0.0437088828441779
E2F8,PBK,0.0435546483432761
E2F8,HJURP,0.0435308271596878
FOXM1,CIT,0.043509106020357
MYBL2,DEPDC1B,0.0434762089618426
MYBL2,NUSAP1,0.043471231542329
FOXM1,E2F8,0.0434584477571825
MYBL2,EXO1,0.0434334593121793
SPI1,NFAM1,0.0433444315786117
E2F8,KIF18B,0.0433212396696374
SPI1,CD4,0.0432683307754247
TFEC,NCKAP1L,0.0432675248575518
HOXA3,HOXA5,0.0432051750709251
E2F8,ESCO2,0.043186221463952
MYBL2,HMMR,0.0431426029876945
PAX5,FCRL1,0.0431400656566627
IRF9,MX1,0.043129471508493
SPI1,NCF1,0.043091289901558
MYBL2,TOP2A,0.0430023913617867
FOSB,NR4A1,0.042960333791958
NR4A1,NR4A3,0.0429178721430476
TFEC,AC004988.1,0.0429134008567751
NR1D2,NR1D1,0.0428802982341276
CEBPA,AGPAT2,0.0428273875473889
IKZF1,FYB,0.0427726029032422
FOXM1,CDC20,0.0427715477654441
FOXM1,AURKA,0.0427475431568714
SOX2,GJB6,0.0427471275413005
FOXM1,ORC6,0.0427418967699967
FOXM1,KIF15,0.0427229878774051
FOXM1,NEK2,0.0425905064824164
PAX5,CNR2,0.0424543906212466
E2F8,DEPDC1B,0.0424532736594691
FOXM1,KIF2C,0.0424188782235764
IRF9,IFI6,0.0423108464570146
SPI1,NCF1B,0.0422200480611815
FOSB,NR4A2,0.04214686779696
NR1D1,DBP,0.0420859509115421
E2F8,SKA1,0.0420586830618414
SPI1,LILRB4,0.0419797822168622
E2F8,TOP2A,0.0418700503734338
IKZF1,ITK,0.0418659044476459
STAT1,OAS2,0.0418597533528018
MYBL2,NUF2,0.0418547352590807
FOXM1,TYMS,0.0418304364094458
MYBL2,CEP55,0.041810758986072
HOXB3,HOXB4,0.0417955955571467
E2F8,KIF15,0.0417856383974495
MYBL2,BIRC5,0.0417634463510876
E2F8,TPX2,0.0417495116737915
CEBPA,PLIN4,0.04170456033406
FOXM1,SKA3,0.0416855351857643
ATF3,NR4A2,0.0416630163351241
HOXC11,HOXC-AS3,0.0416613898281486
HOXC11,HOXC12,0.0416489020282666
FOS,JUNB,0.0416407277798795
MYBL2,CDCA2,0.0416016300795495
SPI1,IFI30,0.0415765131566295
TFEC,CTSS,0.0415148333542851
HOXC10,HOXC11,0.0414524192576139
FOXI1,NCALD,0.0414347105402096
ZNF683,CD8A,0.04140415906048
FOXM1,CDCA2,0.0413661406780741
E2F8,BUB1B,0.0413267130022388
IRF5,SELPLG,0.0413242413536056
SPI1,LINC01272,0.0412584014911791
NR4A2,NR4A3,0.0412438677912041
FOXM1,SGOL1,0.0411771655846222
SPI1,LAPTM5,0.0411650635555655
MYBL2,GTSE1,0.0411481986447773
IKZF1,IL2RG,0.0411028592615811
SPI1,TYROBP,0.0410413624620497
MYBL2,MKI67,0.0409994157646719
KLF9,PER1,0.0409912184306828
FOXM1,RAD54L,0.0408798590811423
JUNB,FOS,0.0408386998351584
FOXM1,CDC6,0.0407900681495693
MYBL2,KIF2C,0.0407899857187427
E2F7,SGOL1,0.0407775869147673
TFEC,CLEC4A,0.0407644385474647
IKZF3,ITK,0.0407436445949947
FOXM1,KIF11,0.0407399319901294
SPI1,CD68,0.0407343658697733
FOXM1,KIF14,0.0407098484029117
SAFB,TAF15,0.0407016536596522
FOXM1,BUB1B,0.0406269692535144
TFEC,PTPRC,0.0406149192582144
SPI1,IL12RB1,0.04061332736953
FOXM1,CCNB2,0.0406085846076396
CENPT,CHKB,0.0406006738750558
MYBL2,PRC1,0.040565182547796
KLF6,MCL1,0.0405615108460561
MYB,ELOVL2,0.0404977428492672
SP140,LINC01215,0.0404802529379966
SPI1,CD300A,0.0404657440756497
FOSB,FOS,0.0404312720741741
IRF5,SASH3,0.0404183069152393
SOX2,SFTPA2,0.0404107468047871
SPI1,FMNL1,0.0403622798766054
E2F8,BUB1,0.0403563319314232
PPARG,GYG2,0.0403324165177049
IKZF1,EVI2B,0.0403178120936687
E2F8,CDC6,0.0403175183244045
LMX1A,WNT10B,0.0402949418657863
IRF5,TNFAIP8L2,0.0402782952116165
MYBL2,CCNB2,0.0402757221965904
ZIC1,ZIC4,0.0402677397118289
KLF9,TSC22D3,0.0402580660955701
MLXIPL,GPD1,0.0402466432239841
MYBL2,PBK,0.040234947555377
IKZF3,SP140,0.0402347526480393
PROX1,MMRN1,0.0401988200506211
IKZF1,LPXN,0.0401758054545092
MYBL2,BUB1B,0.0401554684726
DRAP1,PDAP1,0.0401233562369188
MYBL2,CLSPN,0.0401016246246576
E2F8,UHRF1,0.0400601083060369
EOMES,GZMA,0.0400330251562584
SP140,TRAF3IP3,0.0400315053335541
MYBL2,NEK2,0.0399896899648351
SPI1,ARRB2,0.0399546305061708
ZNF385D,RP11-180N14.1,0.0398971400657862
SPI1,SLC15A3,0.0398843949067351
FOXM1,LMNB1,0.0398635699402097
IRF5,SPI1,0.0398571854550871
SPI1,CD300C,0.0398300200604727
PPARG,SLC7A10,0.0398190936180938
E2F7,KIF15,0.0397941598354039
SPI1,PILRA,0.039763837558342
FOXM1,SPC24,0.039729245892896
TFE3,PALM,0.0397198310553756
DMTF1,ZMAT1,0.0395938235548313
E2F7,NCAPG,0.0395861469644057
SOX8,VSTM5,0.0395638468103447
TFEC,PTPRO,0.0395178117297175
MYBL2,SHCBP1,0.0394909874587877
SPI1,IRF5,0.0394889968334332
CEBPA,AIFM2,0.0394506234595053
FOXM1,BUB1,0.0394422607762331
NR4A2,DYRK3,0.0394265051625934
CENPT,ENTHD2,0.0394027113779246
IRF5,IFI30,0.0393804574226969
TFEC,FPR3,0.0393745931266797
PROX1,CCL21,0.0393611509406084
FOSL2,SERPINE1,0.0393567545737628
EOMES,SH2D1A,0.0393087339342843
SPI1,NCF1C,0.0392866602460529
IRF5,LAPTM5,0.039271415425876
EGR3,LIF,0.0392115365950757
KLF6,TIPARP,0.0391845384743649
ZNF831,IKZF1,0.0391716682261569
IKZF1,XCR1,0.0391472858978035
E2F8,CDK1,0.0391468147998782
FOXM1,FAM64A,0.0391393887332518
EOMES,SLAMF6,0.0391361593808801
