,feature_types,genome,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,ensemble_id
A1BG,Gene Expression,GRCh38,False,A1BG_ENSG00000121410,NCBITaxon:9606,gene,2134,protein_coding,ENSG00000121410
A1BG-AS1,Gene Expression,GRCh38,False,A1BG-AS1,NCBITaxon:9606,gene,1667,lncRNA,ENSG00000268895
A1CF,Gene Expression,GRCh38,False,A1CF_ENSG00000148584,NCBITaxon:9606,gene,2211,protein_coding,ENSG00000148584
A2M,Gene Expression,GRCh38,False,A2M_ENSG00000175899,NCBITaxon:9606,gene,590,protein_coding,ENSG00000175899
A2M-AS1,Gene Expression,GRCh38,False,A2M-AS1,NCBITaxon:9606,gene,2551,lncRNA,ENSG00000245105
A2ML1,Gene Expression,GRCh38,False,A2ML1_ENSG00000166535,NCBITaxon:9606,gene,592,protein_coding,ENSG00000166535
A2ML1-AS1,Gene Expression,GRCh38,False,A2ML1-AS1,NCBITaxon:9606,gene,452,lncRNA,ENSG00000256661
A2ML1-AS2,Gene Expression,GRCh38,False,A2ML1-AS2,NCBITaxon:9606,gene,386,lncRNA,ENSG00000256904
A3GALT2,Gene Expression,GRCh38,False,A3GALT2_ENSG00000184389,NCBITaxon:9606,gene,1023,protein_coding,ENSG00000184389
A4GALT,Gene Expression,GRCh38,False,A4GALT_ENSG00000128274,NCBITaxon:9606,gene,1956,protein_coding,ENSG00000128274
A4GNT,Gene Expression,GRCh38,False,A4GNT_ENSG00000118017,NCBITaxon:9606,gene,1779,protein_coding,ENSG00000118017
AA06,Gene Expression,GRCh38,False,AA06,NCBITaxon:9606,gene,632,lncRNA,ENSG00000265544
AAAS,Gene Expression,GRCh38,False,AAAS_ENSG00000094914,NCBITaxon:9606,gene,1704,protein_coding,ENSG00000094914
AACS,Gene Expression,GRCh38,False,AACS_ENSG00000081760,NCBITaxon:9606,gene,2014,protein_coding,ENSG00000081760
AADAC,Gene Expression,GRCh38,False,AADAC_ENSG00000114771,NCBITaxon:9606,gene,1141,protein_coding,ENSG00000114771
AADACL2,Gene Expression,GRCh38,False,AADACL2_ENSG00000197953,NCBITaxon:9606,gene,4954,protein_coding,ENSG00000197953
AADACL2-AS1,Gene Expression,GRCh38,False,AADACL2-AS1,NCBITaxon:9606,gene,554,lncRNA,ENSG00000242908
AADACL3,Gene Expression,GRCh38,False,AADACL3_ENSG00000188984,NCBITaxon:9606,gene,3943,protein_coding,ENSG00000188984
AADACL4,Gene Expression,GRCh38,False,AADACL4_ENSG00000204518,NCBITaxon:9606,gene,2027,protein_coding,ENSG00000204518
AADAT,Gene Expression,GRCh38,False,AADAT_ENSG00000109576,NCBITaxon:9606,gene,1455,protein_coding,ENSG00000109576
AAGAB,Gene Expression,GRCh38,False,AAGAB_ENSG00000103591,NCBITaxon:9606,gene,1015,protein_coding,ENSG00000103591
AAK1,Gene Expression,GRCh38,False,AAK1_ENSG00000115977,NCBITaxon:9606,gene,965,protein_coding,ENSG00000115977
AAMDC,Gene Expression,GRCh38,False,AAMDC_ENSG00000087884,NCBITaxon:9606,gene,579,protein_coding,ENSG00000087884
AAMP,Gene Expression,GRCh38,False,AAMP_ENSG00000127837,NCBITaxon:9606,gene,1447,protein_coding,ENSG00000127837
AANAT,Gene Expression,GRCh38,False,AANAT_ENSG00000129673,NCBITaxon:9606,gene,883,protein_coding,ENSG00000129673
AAR2,Gene Expression,GRCh38,False,AAR2_ENSG00000131043,NCBITaxon:9606,gene,2585,protein_coding,ENSG00000131043
AARD,Gene Expression,GRCh38,False,AARD_ENSG00000205002,NCBITaxon:9606,gene,1395,protein_coding,ENSG00000205002
AARS1,Gene Expression,GRCh38,False,AARS1_ENSG00000090861,NCBITaxon:9606,gene,3466,protein_coding,ENSG00000090861
AARS2,Gene Expression,GRCh38,False,AARS2_ENSG00000124608,NCBITaxon:9606,gene,2766,protein_coding,ENSG00000124608
AARSD1,Gene Expression,GRCh38,False,AARSD1_ENSG00000266967,NCBITaxon:9606,gene,648,protein_coding,ENSG00000266967
AASDH,Gene Expression,GRCh38,False,AASDH_ENSG00000157426,NCBITaxon:9606,gene,2981,protein_coding,ENSG00000157426
AASDHPPT,Gene Expression,GRCh38,False,AASDHPPT_ENSG00000149313,NCBITaxon:9606,gene,1252,protein_coding,ENSG00000149313
AASS,Gene Expression,GRCh38,False,AASS_ENSG00000008311,NCBITaxon:9606,gene,3619,protein_coding,ENSG00000008311
AATBC,Gene Expression,GRCh38,False,AATBC,NCBITaxon:9606,gene,1889,lncRNA,ENSG00000215458
AATF,Gene Expression,GRCh38,False,AATF_ENSG00000275700,NCBITaxon:9606,gene,2018,protein_coding,ENSG00000275700
AATK,Gene Expression,GRCh38,False,AATK_ENSG00000181409,NCBITaxon:9606,gene,938,protein_coding,ENSG00000181409
ABALON,Gene Expression,GRCh38,False,ABALON,NCBITaxon:9606,gene,1903,lncRNA,ENSG00000281376
ABAT,Gene Expression,GRCh38,False,ABAT_ENSG00000183044,NCBITaxon:9606,gene,1091,protein_coding,ENSG00000183044
ABCA1,Gene Expression,GRCh38,False,ABCA1_ENSG00000165029,NCBITaxon:9606,gene,1540,protein_coding,ENSG00000165029
ABCA10,Gene Expression,GRCh38,False,ABCA10_ENSG00000154263,NCBITaxon:9606,gene,1311,protein_coding,ENSG00000154263
ABCA12,Gene Expression,GRCh38,False,ABCA12_ENSG00000144452,NCBITaxon:9606,gene,7005,protein_coding,ENSG00000144452
ABCA13,Gene Expression,GRCh38,False,ABCA13_ENSG00000179869,NCBITaxon:9606,gene,4377,protein_coding,ENSG00000179869
ABCA2,Gene Expression,GRCh38,False,ABCA2_ENSG00000107331,NCBITaxon:9606,gene,941,protein_coding,ENSG00000107331
ABCA3,Gene Expression,GRCh38,False,ABCA3_ENSG00000167972,NCBITaxon:9606,gene,2440,protein_coding,ENSG00000167972
ABCA4,Gene Expression,GRCh38,False,ABCA4_ENSG00000198691,NCBITaxon:9606,gene,690,protein_coding,ENSG00000198691
ABCA5,Gene Expression,GRCh38,False,ABCA5_ENSG00000154265,NCBITaxon:9606,gene,1774,protein_coding,ENSG00000154265
ABCA6,Gene Expression,GRCh38,False,ABCA6_ENSG00000154262,NCBITaxon:9606,gene,1706,protein_coding,ENSG00000154262
ABCA7,Gene Expression,GRCh38,False,ABCA7_ENSG00000064687,NCBITaxon:9606,gene,700,protein_coding,ENSG00000064687
